	NGenes	Direction	PValue	FDR
Transcriptional.factors.104.	85	Up	4.26189339705443e-06	0.000468808273675988
NfKb.pathway.23.	21	Up	1.13073826168223e-05	0.000621906043925226
deathPathway.33.	31	Up	1.82527940875973e-05	0.000669269116545234
Rceptors.and.ligands.63.	43	Up	4.01583467743357e-05	0.00110435453629423
Heat.Shock.Proteins.14.	14	Up	0.000100166996736308	0.00220367392819879
alkPathway.37.	24	Up	0.000131421937864418	0.002409402194181
MTORC1.substrates.20.	19	Up	0.00348968102622145	0.0548378446977656
Mitochondrial.ribosomal.protein.mRNAs.64.	64	Down	0.0103824511617506	0.142758703474071
Lysosomal.proteolysis.23.	18	Up	0.011958138239728	0.146155022930009
MTOR.cascade.32.	31	Up	0.0142313430984488	0.156544774082937
receptor.mediated.endocytosis.25.	21	Up	0.0160932805075146	0.160932805075146
aktPathway.19.	13	Up	0.018023201184736	0.165212677526747
atg9.and.its.cycling.system.6.	6	Down	0.0217965515802172	0.175520227110201
selective.autophagy.cargo.receptors.10.	10	Up	0.0223389379958438	0.175520227110201
endosome.to.lysosome.transport.10.	9	Up	0.0241228797698922	0.176901118312543
Lysosomal.membrane.9.	7	Up	0.0265438137369867	0.182488719441783
eIF1.mRNAs.3.	1	Up	0.0287053911499805	0.18574076626458
MTORC1.hyp.Upregulated.ALL.492.	311	Up	0.0346696525399723	0.204729946975453
mTOR.substrates.10.	10	Up	0.0353624453866691	0.204729946975453
Lysosomal.genes.containing.CLEAR.motif.68.	60	Up	0.0379046795530445	0.208475737541745
AMPK.complex.8.	7	Down	0.041188762477894	0.215750660598492
mTOR.s.transcriptional.factor.11.	11	Up	0.0452687356065799	0.2263436780329
PI3K.complex.12.	9	Up	0.0535014318611076	0.248297558812114
Upregulated.upon.TFEB.OE.in.Hela.291.	227	Up	0.0541740128317339	0.248297558812114
MTORC1.hyp.DOWNregulated.ALL.561.	333	Up	0.0714002422611923	0.3122556795006
vacuolar.proton.transporting.V.type.ATPase.complex.26.	20	Down	0.0738058878819601	0.3122556795006
eIF3.mRNAs.12.	12	Down	0.0842002839272881	0.337617084658813
lipid.catabolic.process.17.	10	Up	0.0889141236043733	0.337617084658813
TFs.involved.in.mitophagy.10.	9	Up	0.0890081405009598	0.337617084658813
X.Late.endosome..Lysosomes..lyso.related.organelles..10.	9	Up	0.0941017942930575	0.339418325780676
All.lipid.genes.37.	28	Up	0.0956542554472815	0.339418325780676
Canonical.Lysosomal.Genes.98.	85	Up	0.126742300020119	0.435676656319158
Mitochondrial.Trascriptional.factors.21.	20	Up	0.137491956321679	0.450395579039024
endosomal.transport.29.	27	Down	0.139213178975698	0.450395579039024
Downregulated.upon.TFEB.OE.in.Hela.7.	3	Up	0.145052556548238	0.455879463437321
All.MTOR.AKT.cascade.genes.150.	140	Up	0.162348357074271	0.486713549765352
Early.endosomal.compartment.12.	12	Up	0.163712739466527	0.486713549765352
Lysosomal.acidification.14.	12	Down	0.17464557481751	0.503499653937007
All.Endo.Exosomal.genes.137.	127	Up	0.178513513668575	0.503499653937007
Curated.Lysosomal.Biogenesis.26.	25	Up	0.183176687911783	0.503735891757403
Rab.proteins.involved.in.autophagosome.formation.19.	17	Up	0.191391465781194	0.513489298437349
All.PI3K.genes.44.	36	Up	0.224523565742502	0.58803791027798
All.Autophagic.genes.147.	125	Up	0.234074059398846	0.598794105438908
transmembrane.transport.channel.19.	16	Up	0.244686148511327	0.611715371278318
ATG12.Ubiquitin.like.conjugation.systems.6.	6	Down	0.254296525043909	0.621613727885111
Lysoplex_Suppl_Table1.16.	16	Down	0.302642112822873	0.72370940022861
BCL.2.family.14.	11	Up	0.324476622878983	0.74201086148833
X.retrograde.transport..endosome.to.Golgi..8.	8	Down	0.325027967593678	0.74201086148833
MTOR1.2.complex.10.	10	Down	0.33053211102662	0.74201086148833
Curated.Induction.23.	22	Down	0.349497423131727	0.756992356949958
Microtubule.associated.with.Autophagy.47.	42	Down	0.354607512968234	0.756992356949958
Negative.regulator.of.Mitophagy.8.	8	Up	0.362628141212896	0.756992356949958
other.proteins.involved.in.autophagy.65.	58	Up	0.370567645250597	0.756992356949958
Thoreen.mTOR.Targets.Unique.166.	160	Down	0.371614429775434	0.756992356949958
Beclin1.complex.and.interacting.proteins.18.	15	Up	0.384934472135058	0.769868944270117
regulation.of.endocytosis.13.	13	Up	0.399637304867097	0.77144885129976
Lysoplex.All.Lysosome..including.membrane..891.	767	Up	0.399750768400785	0.77144885129976
