	NGenes	Direction	PValue	FDR
lysosome.organization.10.	10	Up	0.00112158474961019	0.123374322457121
vacuolar.proton.transporting.V.type.ATPase.complex.26.	20	Down	0.0107315471568617	0.300085433017112
Lysosomal.acidification.14.	12	Down	0.0124886079050777	0.300085433017112
eIF3.mRNAs.12.	12	Up	0.0135043773020825	0.300085433017112
Beclin1.complex.and.interacting.proteins.18.	15	Up	0.0144291096723934	0.300085433017112
regulation.of.exocytosis.6.	6	Down	0.016431318193792	0.300085433017112
X.Golgi..recycling.comp..And.secretory..24.	21	Down	0.0190963457374526	0.300085433017112
PolyABinding.and.Elongation.46.	41	Up	0.0362036393699421	0.468020942430524
Thoreen.mTOR.Targets.Unique.166.	160	Up	0.0382926225624974	0.468020942430524
MTORC1.substrates.20.	19	Up	0.0555440649839625	0.610984714823587
other.proteins.involved.in.autophagy.65.	58	Up	0.0677010549257134	0.650714592083282
Mitochondrial.ribosomal.protein.mRNAs.64.	64	Up	0.0709870464090854	0.650714592083282
eIF2.mRNAs.10.	8	Up	0.0798427477522773	0.655048030799323
All.Autophagic.genes.147.	125	Up	0.0906921113271429	0.655048030799323
Fission.and.Fusion.10.	8	Up	0.0912063439355195	0.655048030799323
X14.3.3.7.	6	Down	0.0952797135708107	0.655048030799323
regulation.of.ARF.GTPase.activity.15.	15	Down	0.110119837775993	0.658133298274923
exocytosis.6.	6	Down	0.112524751213223	0.658133298274923
lysosomal.transport.7.	7	Up	0.115251070378176	0.658133298274923
Mitochondrial.Trascriptional.factors.21.	20	Up	0.11966059968635	0.658133298274923
Positive.regulator.of.Autophagy.43.	36	Up	0.127262326110545	0.666612184388567
MTORC1.hyp.DOWNregulated.ALL.561.	333	Down	0.135775402153802	0.67887701076901
vesicle.mediated.transport.16.	15	Down	0.14660872940369	0.680520820239038
Negative.Regulator.of.Autophagy.23.	22	Up	0.148477269870336	0.680520820239038
Lysosomal.genes.containing.CLEAR.motif.68.	60	Up	0.163564943236257	0.704303810967584
MAPK.family.12.	12	Down	0.166471809865065	0.704303810967584
Early.endosomal.compartment.12.	12	Up	0.181444900610739	0.739219965451157
mTOR.s.transcriptional.factor.11.	11	Up	0.194040748788496	0.762302941669091
AP.Core.62.	54	Up	0.205226561551342	0.774756196859919
eIF4.mRNAs.9.	9	Up	0.218766595959583	0.774756196859919
NfKb.pathway.23.	21	Up	0.223974864337221	0.774756196859919
Lysoplex.All.Autophagy.23.	20	Down	0.232426859057976	0.774756196859919
Microtubule.associated.with.Autophagy.AP.Formation.23.	20	Down	0.232426859057976	0.774756196859919
endosomal.transport.29.	27	Up	0.245379244960395	0.793874027813043
Rceptors.and.ligands.63.	43	Down	0.280615612728066	0.860550663362384
BCL.2.family.14.	11	Up	0.294566618148492	0.860550663362384
Mitophagy.34.	33	Up	0.294982451419043	0.860550663362384
Microtubule.associated.with.Autophagy.47.	42	Down	0.306287400964752	0.860550663362384
All.Endo.Exosomal.genes.137.	127	Down	0.307644912407612	0.860550663362384
eEF.mRNAs.6.	5	Down	0.325084954555729	0.860550663362384
MTOR1.2.complex.10.	10	Up	0.327562374193862	0.860550663362384
TFs.involved.in.mitophagy.10.	9	Up	0.337671750204663	0.860550663362384
Canonical.Lysosomal.Genes.98.	85	Up	0.341071115808822	0.860550663362384
mTOR.regulators.3.27.	27	Up	0.344347868971029	0.860550663362384
ATG8.Ubiquitin.like.conjugation.systems.14.	10	Up	0.361439422046025	0.860550663362384
Ribosomal.protein.mRNAs.50.	49	Up	0.365364252591722	0.860550663362384
New.MT.Assoc.All.84.	73	Down	0.367689828891201	0.860550663362384
New.MT.Assoc.All.minus.motors.53.	47	Down	0.378509534094567	0.865941679413603
mTOR.regulators.25.	25	Up	0.385737657193332	0.865941679413603
PKs.complex.13.	13	Down	0.420628623020042	0.919775480264208
Microtubule.associated.with.Autophagy.Transport.56.	47	Down	0.426441359031587	0.919775480264208
Microtubule.associated.with.Autophagy.Transport.minus.motors.25.	21	Down	0.449277187751053	0.931254939861147
RAB.effectors.90.	81	Up	0.472485634197561	0.931254939861147
endosome.to.lysosome.transport.10.	9	Up	0.484152549478363	0.931254939861147
intracellular.trafficking.7.	7	Up	0.487587185270865	0.931254939861147
Heat.Shock.Proteins.14.	14	Down	0.496996326618468	0.931254939861147
MTOR.cascade.32.	31	Down	0.504318126698225	0.931254939861147
Curated.Lysosomal.Biogenesis.26.	25	Down	0.505477168133361	0.931254939861147
TFEB.targets..MB..479.	422	Up	0.506463578594486	0.931254939861147
intracellular.protein.trafficking.16.	14	Up	0.507957239924262	0.931254939861147
receptor.mediated.endocytosis.25.	21	Down	0.517996853158987	0.932517834981807
ULK1.complex.9.	8	Down	0.5256009615352	0.932517834981807
PI3K.complex.12.	9	Down	0.545771543725881	0.939762927657162
Curated.Induction.23.	22	Up	0.546771157909621	0.939762927657162
eIF5.mRNAs.3.	3	Up	0.55682773181352	0.942323853838265
AMPK.complex.8.	7	Down	0.584568417544875	0.965401858267277
specialized.transport.8.	6	Up	0.600743646232806	0.965401858267277
X.Late.endosome..Lysosomes..lyso.related.organelles..10.	9	Down	0.603948719135758	0.965401858267277
Old.Lysosomal.biogenesis.13.	13	Up	0.605570256549474	0.965401858267277
Known.TOP.mRNAs.66.	64	Up	0.616685312565055	0.966132021720038
Lysosomal.proteolysis.23.	18	Up	0.625157837160542	0.966132021720038
