	NGenes	Direction	PValue	FDR
MTORC1.substrates.20.	19	Up	9.26652528810681e-05	0.0101931778169175
BCL.2.family.14.	11	Up	0.00321264489855731	0.129717411829034
MTOR.cascade.32.	31	Up	0.00489385734534281	0.129717411829034
alkPathway.37.	24	Up	0.00557765316905016	0.129717411829034
deathPathway.33.	31	Up	0.00589624599222881	0.129717411829034
Lysosomal.Catabolic.enzymes.38.	35	Down	0.0100049320809518	0.166132520463915
vacuolar.proton.transporting.V.type.ATPase.complex.26.	20	Down	0.0116261011365443	0.166132520463915
mTOR.s.transcriptional.factor.11.	11	Up	0.0120823651246484	0.166132520463915
Lysosomal.hydrolases.and.accessory.proteins.23.	22	Down	0.0155291154031582	0.189800299371934
Mitochondrial.Trascriptional.factors.21.	20	Up	0.0196085033040821	0.215693536344903
Transcriptional.factors.104.	85	Up	0.0246212165111559	0.246212165111559
other.proteins.involved.in.autophagy.65.	58	Up	0.0363421196018145	0.30398886898149
endosome.to.lysosome.transport.10.	9	Up	0.0386854979653914	0.30398886898149
All.PI3K.genes.44.	36	Up	0.0406449563705048	0.30398886898149
TFs.involved.in.mitophagy.10.	9	Up	0.041453027588385	0.30398886898149
aktPathway.19.	13	Up	0.0447541478587865	0.307684766529157
All.Autophagic.genes.147.	125	Up	0.0663152595232734	0.38785902391619
All.MTOR.AKT.cascade.genes.150.	140	Up	0.0668560488577231	0.38785902391619
Lysosomal.acidification.14.	12	Down	0.0669938314037055	0.38785902391619
vesicle.mediated.transport.16.	15	Down	0.0965388621020588	0.530963741561323
All.Lysosomal.genes.241.	206	Down	0.107647277039359	0.532954451558671
PI3K.complex.12.	9	Up	0.115423454676294	0.532954451558671
Canonical.Lysosomal.Genes.98.	85	Down	0.120252016888023	0.532954451558671
regulation.of.exocytosis.6.	6	Down	0.120368392855357	0.532954451558671
NfKb.pathway.23.	21	Up	0.12225907286346	0.532954451558671
lipid.catabolic.process.17.	10	Up	0.125971052186595	0.532954451558671
eIF3.mRNAs.12.	12	Down	0.136675588995262	0.5568264736844
Downregulated.upon.TFEB.OE.in.Hela.7.	3	Up	0.173082090056681	0.679965353794103
Rab.proteins.involved.in.autophagosome.formation.19.	17	Up	0.188044101712405	0.698067708558155
Curated.Lysosomal.Biogenesis.26.	25	Down	0.190382102334042	0.698067708558155
MTOR1.2.complex.10.	10	Up	0.205504044045792	0.706134129206989
Lysoplex.All.Autophagy.23.	20	Down	0.216234367169255	0.706134129206989
Microtubule.associated.with.Autophagy.AP.Formation.23.	20	Down	0.216234367169255	0.706134129206989
Mitochondrial.ribosomal.protein.mRNAs.64.	64	Down	0.218259639936706	0.706134129206989
Thoreen.mTOR.Targets.Unique.166.	160	Down	0.225815231680303	0.709705013852381
PolyABinding.and.Elongation.46.	41	Down	0.234715023166605	0.71718479300907
Lysosomal.genes.containing.CLEAR.motif.68.	60	Down	0.246149382651342	0.724375610102015
AMPK.complex.8.	7	Down	0.250238847126151	0.724375610102015
eEF.mRNAs.6.	5	Down	0.262002896959357	0.738982529885367
Positive.regulator.of.Autophagy.43.	36	Up	0.27722385678346	0.752129236064249
Rceptors.and.ligands.63.	43	Up	0.280339078896675	0.752129236064249
Lysosomal.membrane.9.	7	Up	0.29042440393578	0.760635343641329
mTOR.substrates.10.	10	Up	0.311673079476095	0.797303226566755
Non.lysosomal.proteins.involved.in.lysosomal.biogenesis.10..	10	Down	0.322561869345968	0.806404673364919
lipid.transport.11.	11	Down	0.338180320657199	0.809410772548208
Fission.and.Fusion.10.	8	Down	0.342666552901229	0.809410772548208
lysosome.organization.10.	10	Up	0.345839148270598	0.809410772548208
lysosomal.transport.7.	7	Up	0.368174901515449	0.831982038141386
atg9.and.its.cycling.system.6.	6	Down	0.370610180626617	0.831982038141386
Autophagy.17.	16	Up	0.392260941218595	0.842240117337237
Early.endosomal.compartment.12.	12	Up	0.398117318286455	0.842240117337237
Mitophagy.34.	33	Up	0.39814987365033	0.842240117337237
Beclin1.complex.and.interacting.proteins.18.	15	Up	0.455899239295318	0.918079829369096
Microtubule.associated.with.Autophagy.47.	42	Down	0.467660613326723	0.918079829369096
Known.TOP.mRNAs.66.	64	Down	0.472068645450448	0.918079829369096
eIF2.mRNAs.10.	8	Down	0.492012477559067	0.918079829369096
Lysosomal.proteolysis.23.	18	Down	0.499960784499551	0.918079829369096
New.MT.Assoc.All.minus.motors.53.	47	Down	0.500342971805104	0.918079829369096
PKs.complex.13.	13	Down	0.501700010456297	0.918079829369096
MAPK.family.12.	12	Up	0.506126114789528	0.918079829369096
receptor.mediated.endocytosis.25.	21	Down	0.512329040982767	0.918079829369096
eIF5.mRNAs.3.	3	Up	0.524313357986551	0.918079829369096
AP.Core.62.	54	Up	0.528723270137622	0.918079829369096
protein.transport.40.	31	Up	0.539185382703245	0.918079829369096
Lysosome.ON.IN.99.	84	Down	0.560405941156714	0.918079829369096
Old.Lysosomal.biogenesis.13.	13	Down	0.575866100501046	0.918079829369096
Curated.Induction.23.	22	Down	0.576371028569736	0.918079829369096
X.Late.endosome..Lysosomes..lyso.related.organelles..10.	9	Up	0.587038944927007	0.918079829369096
specialized.transport.8.	6	Down	0.591517741502606	0.918079829369096
Negative.regulator.of.Mitophagy.8.	8	Down	0.59564120584157	0.918079829369096
Lysoplex_Suppl_Table1.16.	16	Up	0.60695779289208	0.918079829369096
ATG8.Ubiquitin.like.conjugation.systems.14.	10	Up	0.608021191486521	0.918079829369096
regulation.of.ARF.GTPase.activity.15.	15	Down	0.610880798658085	0.918079829369096
Microtubule.associated.with.Autophagy.Transport.minus.motors.25.	21	Down	0.617617339757392	0.918079829369096
Negative.Regulator.of.Autophagy.23.	22	Up	0.62795112977025	0.9209949903297
MTORC1.hyp.Upregulated.ALL.492.	311	Up	0.646698081295249	0.925476990487682
selective.autophagy.cargo.receptors.10.	10	Up	0.647833893341377	0.925476990487682
intracellular.protein.trafficking.16.	14	Up	0.677703911980402	0.939725879811672
exocytosis.6.	6	Down	0.683348874744685	0.939725879811672
Docking.and.fusion.13.	12	Up	0.684483483604652	0.939725879811672
X.retrograde.transport..endosome.to.Golgi..8.	8	Up	0.698236753081573	0.939725879811672
post.Golgi.vesicle.mediated.transport.14.	14	Down	0.702000137371539	0.939725879811672
All.Endo.Exosomal.genes.137.	127	Down	0.709065891130626	0.939725879811672
RAB.effectors.90.	81	Up	0.72637737563937	0.951208468099175
transmembrane.transport.channel.19.	16	Up	0.742193072098236	0.960485152127129
X.Golgi..recycling.comp..And.secretory..24.	21	Down	0.770498474252524	0.971530177402227
All.lipid.genes.37.	28	Up	0.783235482199652	0.971530177402227
New.MT.Assoc.All.84.	73	Down	0.784189132835226	0.971530177402227
endocytosis.60.	57	Up	0.793883202725392	0.971530177402227
MTORC1.hyp.DOWNregulated.ALL.561.	333	Down	0.794888326965458	0.971530177402227
X14.3.3.7.	6	Down	0.816982518389329	0.987561285965122
Lysoplex.All.Lysosome..including.membrane..891.	767	Up	0.845141128088978	0.999131788849589
ATG12.Ubiquitin.like.conjugation.systems.6.	6	Up	0.849264813362945	0.999131788849589
Ribosomal.protein.mRNAs.50.	49	Down	0.886221780791893	0.999131788849589
ULK1.complex.9.	8	Up	0.895748104000625	0.999131788849589
eIF1.mRNAs.3.	1	Down	0.900873596561198	0.999131788849589
intracellular.trafficking.7.	7	Down	0.917616598529654	0.999131788849589
regulation.of.endocytosis.13.	13	Up	0.923398464996794	0.999131788849589
TFEB.targets..MB..479.	422	Up	0.92853093074298	0.999131788849589
Microtubule.associated.with.Autophagy.AP.Lysosome.Fusion.16.	15	Up	0.932757080540275	0.999131788849589
RAS.family.5.	5	Up	0.936870935606206	0.999131788849589
All.trasport.genes.232.	208	Up	0.937443709656083	0.999131788849589
mTOR.regulators.3.27.	27	Down	0.940070150478307	0.999131788849589
endosomal.transport.29.	27	Up	0.967261182624098	0.999131788849589
PolyA.binding.protein.mRNAs.3.	3	Up	0.975184354392358	0.999131788849589
mTOR.regulators.25.	25	Down	0.975384527831077	0.999131788849589
Upregulated.upon.TFEB.OE.in.Hela.291.	227	Down	0.983491862354376	0.999131788849589
