	NGenes	Direction	PValue	FDR
MTORC1.substrates.20.	19	Up	0.000209559470820578	0.0230515417902635
BCL.2.family.14.	11	Up	0.00263249865341384	0.0810421479344315
Lysosomal.Catabolic.enzymes.38.	35	Down	0.00290582705031319	0.0810421479344315
MTOR.cascade.32.	31	Up	0.00294698719761569	0.0810421479344315
alkPathway.37.	24	Up	0.0058994505333146	0.129787911732921
Lysosomal.hydrolases.and.accessory.proteins.23.	22	Down	0.00716430053651462	0.131345509836101
deathPathway.33.	31	Up	0.00966824331473633	0.151929537803
mTOR.s.transcriptional.factor.11.	11	Up	0.0202554149237392	0.253334618111889
Mitochondrial.Trascriptional.factors.21.	20	Up	0.0207273778455182	0.253334618111889
aktPathway.19.	13	Up	0.0261710285239201	0.263652479752999
endosome.to.lysosome.transport.10.	9	Up	0.0263652479752999	0.263652479752999
All.PI3K.genes.44.	36	Up	0.0301309643647649	0.264648867799958
other.proteins.involved.in.autophagy.65.	58	Up	0.0312766843763587	0.264648867799958
Transcriptional.factors.104.	85	Up	0.0347150907681695	0.272761427464189
All.MTOR.AKT.cascade.genes.150.	140	Up	0.0382443450639136	0.2804585304687
Canonical.Lysosomal.Genes.98.	85	Down	0.0517900630432085	0.356056683422058
vacuolar.proton.transporting.V.type.ATPase.complex.26.	20	Down	0.0551099454945287	0.356593764964598
All.Lysosomal.genes.241.	206	Down	0.0625504552976649	0.382252782374619
All.Autophagic.genes.147.	125	Up	0.0677909116892763	0.392473699253705
eIF3.mRNAs.12.	12	Down	0.0788369186433436	0.43360305253839
TFs.involved.in.mitophagy.10.	9	Up	0.0997494319604761	0.522497024554875
PI3K.complex.12.	9	Up	0.112509753359829	0.562548766799143
Lysosomal.genes.containing.CLEAR.motif.68.	60	Down	0.122897000200756	0.587768261829701
vesicle.mediated.transport.16.	15	Down	0.142652922937794	0.653825896798223
lipid.catabolic.process.17.	10	Up	0.161888699703534	0.712310278695551
Downregulated.upon.TFEB.OE.in.Hela.7.	3	Up	0.176268096391619	0.734917453267023
Thoreen.mTOR.Targets.Unique.166.	160	Down	0.180388829438269	0.734917453267023
Known.TOP.mRNAs.66.	64	Down	0.20476727571905	0.784950794352524
Lysosomal.membrane.9.	7	Up	0.211663913986396	0.784950794352524
NfKb.pathway.23.	21	Up	0.21407748936887	0.784950794352524
PolyABinding.and.Elongation.46.	41	Down	0.228487502482429	0.794208985759172
Positive.regulator.of.Autophagy.43.	36	Up	0.235386037914436	0.794208985759172
Curated.Lysosomal.Biogenesis.26.	25	Down	0.247951641026023	0.794208985759172
Autophagy.17.	16	Up	0.251449930538441	0.794208985759172
mTOR.substrates.10.	10	Up	0.252702859105191	0.794208985759172
Rab.proteins.involved.in.autophagosome.formation.19.	17	Up	0.270479208820453	0.820320587676855
Lysosomal.acidification.14.	12	Down	0.279793651669539	0.820320587676855
Fission.and.Fusion.10.	8	Down	0.283383475742913	0.820320587676855
Non.lysosomal.proteins.involved.in.lysosomal.biogenesis.10..	10	Down	0.292562994530909	0.825177676882052
MAPK.family.12.	12	Up	0.334107408636744	0.886591156568832
eEF.mRNAs.6.	5	Down	0.335128559355206	0.886591156568832
Mitochondrial.ribosomal.protein.mRNAs.64.	64	Down	0.344353072404911	0.886591156568832
AMPK.complex.8.	7	Down	0.354622334654104	0.886591156568832
lipid.transport.11.	11	Down	0.381790848332408	0.886591156568832
MTOR1.2.complex.10.	10	Up	0.390135466519415	0.886591156568832
Lysosomal.proteolysis.23.	18	Down	0.390477023329623	0.886591156568832
Lysosome.ON.IN.99.	84	Down	0.390686211401237	0.886591156568832
regulation.of.exocytosis.6.	6	Down	0.393857060136397	0.886591156568832
specialized.transport.8.	6	Down	0.399682899854234	0.886591156568832
receptor.mediated.endocytosis.25.	21	Down	0.40299598025856	0.886591156568832
Rceptors.and.ligands.63.	43	Up	0.427962269456722	0.92006523079625
Negative.Regulator.of.Autophagy.23.	22	Up	0.4349399272855	0.92006523079625
Mitophagy.34.	33	Up	0.445993320753937	0.921468143312411
lysosome.organization.10.	10	Up	0.454574957955363	0.921468143312411
MTORC1.hyp.Upregulated.ALL.492.	311	Up	0.473622158878515	0.921468143312411
AP.Core.62.	54	Up	0.503512887859168	0.921468143312411
Ribosomal.protein.mRNAs.50.	49	Down	0.514691878707478	0.921468143312411
Lysoplex.All.Autophagy.23.	20	Down	0.524543297623549	0.921468143312411
Microtubule.associated.with.Autophagy.AP.Formation.23.	20	Down	0.524543297623549	0.921468143312411
RAB.effectors.90.	81	Up	0.526455830074907	0.921468143312411
X.Late.endosome..Lysosomes..lyso.related.organelles..10.	9	Up	0.534467324902424	0.921468143312411
eIF5.mRNAs.3.	3	Up	0.53701611171058	0.921468143312411
Docking.and.fusion.13.	12	Up	0.552273411290783	0.921468143312411
protein.transport.40.	31	Up	0.557172954381448	0.921468143312411
Old.Lysosomal.biogenesis.13.	13	Down	0.558661327182488	0.921468143312411
atg9.and.its.cycling.system.6.	6	Down	0.574852504059591	0.921468143312411
eIF2.mRNAs.10.	8	Down	0.60473009147624	0.921468143312411
Early.endosomal.compartment.12.	12	Up	0.609368006865277	0.921468143312411
ATG8.Ubiquitin.like.conjugation.systems.14.	10	Up	0.621280130348907	0.921468143312411
Microtubule.associated.with.Autophagy.Transport.56.	47	Up	0.62439790622004	0.921468143312411
Beclin1.complex.and.interacting.proteins.18.	15	Up	0.633489239757678	0.921468143312411
Microtubule.associated.with.Autophagy.47.	42	Down	0.633827615536493	0.921468143312411
MTORC1.hyp.DOWNregulated.ALL.561.	333	Down	0.637336886962199	0.921468143312411
selective.autophagy.cargo.receptors.10.	10	Up	0.653182917767502	0.921468143312411
ATG12.Ubiquitin.like.conjugation.systems.6.	6	Up	0.662952275137363	0.921468143312411
All.trasport.genes.232.	208	Up	0.68710455940121	0.921468143312411
endocytosis.60.	57	Up	0.688854430625241	0.921468143312411
Curated.Induction.23.	22	Down	0.689569553897538	0.921468143312411
lysosomal.transport.7.	7	Up	0.704039199465692	0.921468143312411
X.retrograde.transport..endosome.to.Golgi..8.	8	Up	0.71057110173613	0.921468143312411
Lysoplex_Suppl_Table1.16.	16	Up	0.711211559725156	0.921468143312411
endosomal.transport.29.	27	Up	0.715671655501744	0.921468143312411
TFEB.targets..MB..479.	422	Up	0.722321587758207	0.921468143312411
New.MT.Assoc.All.minus.motors.53.	47	Down	0.725385205179521	0.921468143312411
Heat.Shock.Proteins.14.	14	Up	0.733823798879943	0.921468143312411
Lysoplex.All.Lysosome..including.membrane..891.	767	Up	0.73422542136109	0.921468143312411
Negative.regulator.of.Mitophagy.8.	8	Down	0.747552070944614	0.921468143312411
X.Golgi..recycling.comp..And.secretory..24.	21	Up	0.753689148110188	0.921468143312411
transmembrane.transport.channel.19.	16	Up	0.753919875773665	0.921468143312411
regulation.of.endocytosis.13.	13	Down	0.759303287159609	0.921468143312411
intracellular.protein.trafficking.16.	14	Up	0.762305464012995	0.921468143312411
PolyA.binding.protein.mRNAs.3.	3	Down	0.796132816831599	0.946536199122607
RAS.family.5.	5	Up	0.800253331985477	0.946536199122607
X14.3.3.7.	6	Up	0.858830224856432	0.964436696417097
post.Golgi.vesicle.mediated.transport.14.	14	Down	0.861142912728015	0.964436696417097
ULK1.complex.9.	8	Up	0.871704922694968	0.964436696417097
exocytosis.6.	6	Down	0.873394177741075	0.964436696417097
All.Endo.Exosomal.genes.137.	127	Down	0.874528197184678	0.964436696417097
eIF4.mRNAs.9.	9	Up	0.877196291748222	0.964436696417097
All.lipid.genes.37.	28	Up	0.882146228001172	0.964436696417097
New.MT.Assoc.All.84.	73	Up	0.885528239437517	0.964436696417097
PKs.complex.13.	13	Down	0.900363546811045	0.967253037936122
regulation.of.ARF.GTPase.activity.15.	15	Down	0.921566752225164	0.967253037936122
eIF1.mRNAs.3.	1	Down	0.924326092405763	0.967253037936122
Microtubule.associated.with.Autophagy.Transport.minus.motors.25.	21	Down	0.926297293548838	0.967253037936122
Microtubule.associated.with.Autophagy.AP.Lysosome.Fusion.16.	15	Down	0.940441076066105	0.967253037936122
Upregulated.upon.TFEB.OE.in.Hela.291.	227	Up	0.940873409628773	0.967253037936122
mTOR.regulators.25.	25	Up	0.9764872060081	0.990349668193386
mTOR.regulators.3.27.	27	Up	0.981346489391627	0.990349668193386
intracellular.trafficking.7.	7	Up	0.999139460494719	0.999139460494719
