	NGenes	Direction	PValue	FDR
MTORC1.substrates.20.	19	Up	0.00011012604156271	0.00688897214942769
vacuolar.proton.transporting.V.type.ATPase.complex.26.	20	Down	0.000125254039080503	0.00688897214942769
Lysosomal.acidification.14.	12	Down	0.000290034700061618	0.010634605668926
regulation.of.exocytosis.6.	6	Down	0.00512658755887506	0.121664418585698
BCL.2.family.14.	11	Up	0.00553020084480445	0.121664418585698
mTOR.s.transcriptional.factor.11.	11	Up	0.00785995931635903	0.144099254133249
Transcriptional.factors.104.	85	Up	0.0135987812288281	0.207050837653276
TFs.involved.in.mitophagy.10.	9	Up	0.0174863505324899	0.207050837653276
alkPathway.37.	24	Up	0.0189210292917507	0.207050837653276
Lysosomal.hydrolases.and.accessory.proteins.23.	22	Down	0.0231824471069347	0.207050837653276
Lysoplex.All.Autophagy.23.	20	Down	0.02361307226136	0.207050837653276
Microtubule.associated.with.Autophagy.AP.Formation.23.	20	Down	0.02361307226136	0.207050837653276
MTOR.cascade.32.	31	Up	0.0244696444499326	0.207050837653276
deathPathway.33.	31	Up	0.0281634209198242	0.221284021512905
MTOR1.2.complex.10.	10	Up	0.0418454242310282	0.290980913159175
Curated.Lysosomal.Biogenesis.26.	25	Down	0.0438250837762724	0.290980913159175
Mitochondrial.Trascriptional.factors.21.	20	Up	0.0449697774882361	0.290980913159175
other.proteins.involved.in.autophagy.65.	58	Up	0.0613173411396559	0.374717084742341
NfKb.pathway.23.	21	Up	0.068037191247591	0.378303367673942
lysosomal.transport.7.	7	Up	0.070214073028036	0.378303367673942
Lysosomal.Catabolic.enzymes.38.	35	Down	0.0722215520104799	0.378303367673942
Mitochondrial.ribosomal.protein.mRNAs.64.	64	Down	0.0778923094746277	0.389461547373139
vesicle.mediated.transport.16.	15	Down	0.0816222040548386	0.390367062870967
All.Autophagic.genes.147.	125	Up	0.0937750450767703	0.413898971853311
Rab.proteins.involved.in.autophagosome.formation.19.	17	Up	0.0964832378562167	0.413898971853311
PKs.complex.13.	13	Down	0.0978306660744189	0.413898971853311
lipid.catabolic.process.17.	10	Up	0.109436861261653	0.434197071089143
eEF.mRNAs.6.	5	Down	0.110522890822691	0.434197071089143
Early.endosomal.compartment.12.	12	Up	0.115417430102487	0.435396684642937
All.Lysosomal.genes.241.	206	Down	0.118744550357165	0.435396684642937
X.Golgi..recycling.comp..And.secretory..24.	21	Down	0.130773952326764	0.464027186349392
Thoreen.mTOR.Targets.Unique.166.	160	Down	0.134989726938005	0.464027186349392
Microtubule.associated.with.Autophagy.Transport.minus.motors.25.	21	Down	0.164234966296533	0.50226810009348
New.MT.Assoc.All.84.	73	Down	0.174341171970719	0.50226810009348
New.MT.Assoc.All.minus.motors.53.	47	Down	0.177404017253764	0.50226810009348
aktPathway.19.	13	Up	0.180894903646567	0.50226810009348
All.PI3K.genes.44.	36	Up	0.181768363587615	0.50226810009348
Microtubule.associated.with.Autophagy.Transport.56.	47	Down	0.183469695072019	0.50226810009348
PI3K.complex.12.	9	Up	0.183635174108127	0.50226810009348
Rceptors.and.ligands.63.	43	Up	0.186915522102064	0.50226810009348
Canonical.Lysosomal.Genes.98.	85	Down	0.187209019125752	0.50226810009348
atg9.and.its.cycling.system.6.	6	Down	0.192681449398489	0.504641891281758
