	NGenes	Direction	PValue	FDR
Lysosomal.Catabolic.enzymes.38.	35	Down	0.00222216222001614	0.244437844201775
MTOR.cascade.32.	31	Up	0.00756928211235331	0.302163043621855
MTORC1.substrates.20.	19	Up	0.0149275025228518	0.302163043621855
endosome.to.lysosome.transport.10.	9	Up	0.0185408641245715	0.302163043621855
aktPathway.19.	13	Up	0.0220764013016682	0.302163043621855
BCL.2.family.14.	11	Up	0.0224676306037614	0.302163043621855
alkPathway.37.	24	Up	0.0244636947167629	0.302163043621855
Lysosomal.hydrolases.and.accessory.proteins.23.	22	Down	0.0265692904159054	0.302163043621855
All.MTOR.AKT.cascade.genes.150.	140	Up	0.026802052092776	0.302163043621855
All.PI3K.genes.44.	36	Up	0.0274693676019868	0.302163043621855
deathPathway.33.	31	Up	0.0335328440468092	0.335328440468092
eIF3.mRNAs.12.	12	Down	0.058030482756603	0.459021420180206
Canonical.Lysosomal.Genes.98.	85	Down	0.0605764368741839	0.459021420180206
Microtubule.associated.with.Autophagy.Transport.56.	47	Up	0.0615140787327888	0.459021420180206
Mitochondrial.Trascriptional.factors.21.	20	Up	0.0625938300245735	0.459021420180206
X.Golgi..recycling.comp..And.secretory..24.	21	Up	0.0794014601286363	0.540498558818308
other.proteins.involved.in.autophagy.65.	58	Up	0.0835315954537385	0.540498558818308
Autophagy.17.	16	Up	0.1068102008552	0.625104867565728
Lysosomal.genes.containing.CLEAR.motif.68.	60	Down	0.121163380880123	0.625104867565728
All.Lysosomal.genes.241.	206	Down	0.121731754076128	0.625104867565728
Negative.Regulator.of.Autophagy.23.	22	Up	0.139936645751055	0.625104867565728
regulation.of.endocytosis.13.	13	Down	0.145031654101685	0.625104867565728
mTOR.substrates.10.	10	Up	0.151049913354537	0.625104867565728
Lysosomal.membrane.9.	7	Up	0.15650567666676	0.625104867565728
All.Autophagic.genes.147.	125	Up	0.163755005843434	0.625104867565728
Lysosomal.acidification.14.	12	Up	0.164980243011367	0.625104867565728
MAPK.family.12.	12	Up	0.168925196253522	0.625104867565728
New.MT.Assoc.All.84.	73	Up	0.172796405229218	0.625104867565728
MTORC1.hyp.Upregulated.ALL.492.	311	Up	0.180943606804947	0.625104867565728
Known.TOP.mRNAs.66.	64	Down	0.183249660725733	0.625104867565728
specialized.transport.8.	6	Down	0.184909172438317	0.625104867565728
mTOR.s.transcriptional.factor.11.	11	Up	0.185140351587654	0.625104867565728
PI3K.complex.12.	9	Up	0.187531460269718	0.625104867565728
X14.3.3.7.	6	Up	0.216716072517121	0.693536897188012
PKs.complex.13.	13	Up	0.229139739015469	0.693536897188012
RAB.effectors.90.	81	Up	0.234832755044629	0.693536897188012
Transcriptional.factors.104.	85	Up	0.245163595425912	0.693536897188012
ATG12.Ubiquitin.like.conjugation.systems.6.	6	Up	0.254358633847618	0.693536897188012
Positive.regulator.of.Autophagy.43.	36	Up	0.25618192499165	0.693536897188012
Downregulated.upon.TFEB.OE.in.Hela.7.	3	Up	0.259384913722361	0.693536897188012
Heat.Shock.Proteins.14.	14	Up	0.261197524258292	0.693536897188012
TFEB.targets..MB..479.	422	Up	0.26480499710815	0.693536897188012
regulation.of.exocytosis.6.	6	Up	0.294768399206326	0.73723807303659
Lysosome.ON.IN.99.	84	Down	0.299380129835138	0.73723807303659
Microtubule.associated.with.Autophagy.Transport.minus.motors.25.	21	Up	0.303872051342445	0.73723807303659
All.trasport.genes.232.	208	Up	0.308299557815301	0.73723807303659
Fission.and.Fusion.10.	8	Down	0.315152221882946	0.737590306534555
lysosomal.transport.7.	7	Down	0.345471899879395	0.777180061404744
Lysoplex.All.Autophagy.23.	20	Up	0.353263664274883	0.777180061404744
Microtubule.associated.with.Autophagy.AP.Formation.23.	20	Up	0.353263664274883	0.777180061404744
PolyA.binding.protein.mRNAs.3.	3	Down	0.388008432749283	0.804254466372315
receptor.mediated.endocytosis.25.	21	Down	0.405129003003946	0.804254466372315
PolyABinding.and.Elongation.46.	41	Down	0.413508563895313	0.804254466372315
Docking.and.fusion.13.	12	Up	0.417099594275535	0.804254466372315
