	NGenes	Direction	PValue	FDR
MTORC1.substrates.20.	19	Up	7.16582581347721e-05	0.00788240839482493
BCL.2.family.14.	11	Up	0.00291803003746405	0.150175242106597
MTOR.cascade.32.	31	Up	0.00462840769213993	0.150175242106597
alkPathway.37.	24	Up	0.00546091789478536	0.150175242106597
deathPathway.33.	31	Up	0.00700212832429304	0.154046823134447
mTOR.s.transcriptional.factor.11.	11	Up	0.0100057209192653	0.161285196973616
Lysosomal.Catabolic.enzymes.38.	35	Down	0.0102636034437756	0.161285196973616
vacuolar.proton.transporting.V.type.ATPase.complex.26.	20	Down	0.0138746421576233	0.17354007859682
Lysosomal.hydrolases.and.accessory.proteins.23.	22	Down	0.0141987337033762	0.17354007859682
Mitochondrial.Trascriptional.factors.21.	20	Up	0.0202118051016501	0.217027352672836
Transcriptional.factors.104.	85	Up	0.0217027352672836	0.217027352672836
other.proteins.involved.in.autophagy.65.	58	Up	0.026713713056802	0.244875703020685
endosome.to.lysosome.transport.10.	9	Up	0.0320232202966448	0.270965710202379
All.PI3K.genes.44.	36	Up	0.0349678718488093	0.274747564526359
TFs.involved.in.mitophagy.10.	9	Up	0.0414226151139455	0.294680011099036
aktPathway.19.	13	Up	0.0428625470689507	0.294680011099036
All.Autophagic.genes.147.	125	Up	0.0514163981566526	0.332694341013635
All.MTOR.AKT.cascade.genes.150.	140	Up	0.0600140185290539	0.366752335455329
Lysosomal.acidification.14.	12	Down	0.0709016697797638	0.410483351356527
NfKb.pathway.23.	21	Up	0.097440938833481	0.520855968464077
vesicle.mediated.transport.16.	15	Down	0.102148619675138	0.520855968464077
PI3K.complex.12.	9	Up	0.104171193692815	0.520855968464077
All.Lysosomal.genes.241.	206	Down	0.12101542465743	0.5315144681724
regulation.of.exocytosis.6.	6	Down	0.125513812945815	0.5315144681724
eIF3.mRNAs.12.	12	Down	0.125791765456745	0.5315144681724
Canonical.Lysosomal.Genes.98.	85	Down	0.130456984822787	0.5315144681724
lipid.catabolic.process.17.	10	Up	0.130462642187771	0.5315144681724
Rab.proteins.involved.in.autophagosome.formation.19.	17	Up	0.156996682172113	0.616772679961872
Downregulated.upon.TFEB.OE.in.Hela.7.	3	Up	0.172581786348247	0.654620568907144
MTOR1.2.complex.10.	10	Up	0.191368980246366	0.701686260903343
Curated.Lysosomal.Biogenesis.26.	25	Down	0.206481547511458	0.71504026601182
Rceptors.and.ligands.63.	43	Up	0.223650867447314	0.71504026601182
Positive.regulator.of.Autophagy.43.	36	Up	0.236199359472448	0.71504026601182
Lysoplex.All.Autophagy.23.	20	Down	0.238352928926514	0.71504026601182
Microtubule.associated.with.Autophagy.AP.Formation.23.	20	Down	0.238352928926514	0.71504026601182
Thoreen.mTOR.Targets.Unique.166.	160	Down	0.242508963451766	0.71504026601182
PolyABinding.and.Elongation.46.	41	Down	0.245753926437819	0.71504026601182
Mitochondrial.ribosomal.protein.mRNAs.64.	64	Down	0.247013910076811	0.71504026601182
Lysosomal.genes.containing.CLEAR.motif.68.	60	Down	0.262910628913035	0.729399238953021
Lysosomal.membrane.9.	7	Up	0.266592696754167	0.729399238953021
AMPK.complex.8.	7	Down	0.271866989064308	0.729399238953021
eEF.mRNAs.6.	5	Down	0.292459665577452	0.751398701828883
mTOR.substrates.10.	10	Up	0.2937285834422	0.751398701828883
Mitophagy.34.	33	Up	0.323949665700442	0.794365843451609
Autophagy.17.	16	Up	0.324967845048385	0.794365843451609
lysosomal.transport.7.	7	Up	0.332665633467501	0.795504775683154
Non.lysosomal.proteins.involved.in.lysosomal.biogenesis.10..	10	Down	0.353071384409451	0.802031385001561
lipid.transport.11.	11	Down	0.355825342049444	0.802031385001561
Fission.and.Fusion.10.	8	Down	0.35726852604615	0.802031385001561
lysosome.organization.10.	10	Up	0.367501848804347	0.808504067369564
atg9.and.its.cycling.system.6.	6	Down	0.387072118359937	0.822807269330478
Early.endosomal.compartment.12.	12	Up	0.388963436410771	0.822807269330478
Beclin1.complex.and.interacting.proteins.18.	15	Up	0.448365217060149	0.919742011752384
Known.TOP.mRNAs.66.	64	Down	0.476801728493956	0.919742011752384
eIF2.mRNAs.10.	8	Down	0.480224561479197	0.919742011752384
protein.transport.40.	31	Up	0.506671396180599	0.919742011752384
AP.Core.62.	54	Up	0.508887775875954	0.919742011752384
MAPK.family.12.	12	Up	0.515962040231404	0.919742011752384
Microtubule.associated.with.Autophagy.47.	42	Down	0.516687343143933	0.919742011752384
Lysosomal.proteolysis.23.	18	Down	0.518767403951413	0.919742011752384
eIF5.mRNAs.3.	3	Up	0.52033322390849	0.919742011752384
PKs.complex.13.	13	Down	0.524568473560456	0.919742011752384
X.Late.endosome..Lysosomes..lyso.related.organelles..10.	9	Up	0.542287970450153	0.919742011752384
Negative.Regulator.of.Autophagy.23.	22	Up	0.546736823955991	0.919742011752384
New.MT.Assoc.All.minus.motors.53.	47	Down	0.55539272332888	0.919742011752384
receptor.mediated.endocytosis.25.	21	Down	0.566124385330281	0.919742011752384
Lysoplex_Suppl_Table1.16.	16	Up	0.566565750067221	0.919742011752384
Old.Lysosomal.biogenesis.13.	13	Down	0.576887363992393	0.919742011752384
ATG8.Ubiquitin.like.conjugation.systems.14.	10	Up	0.581131109191528	0.919742011752384
Lysosome.ON.IN.99.	84	Down	0.594638484822002	0.919742011752384
specialized.transport.8.	6	Down	0.597600258560176	0.919742011752384
Curated.Induction.23.	22	Down	0.602012953147015	0.919742011752384
MTORC1.hyp.Upregulated.ALL.492.	311	Up	0.61257245432846	0.921499227683876
Docking.and.fusion.13.	12	Up	0.619917662260062	0.921499227683876
regulation.of.ARF.GTPase.activity.15.	15	Down	0.639317245626625	0.927396999785786
selective.autophagy.cargo.receptors.10.	10	Up	0.640747018033816	0.927396999785786
Microtubule.associated.with.Autophagy.Transport.minus.motors.25.	21	Down	0.657318645306888	0.939026636152697
Negative.regulator.of.Mitophagy.8.	8	Down	0.671115936098081	0.94644555090755
RAB.effectors.90.	81	Up	0.704501802617967	0.946885926924215
intracellular.protein.trafficking.16.	14	Up	0.705194284842353	0.946885926924215
X.retrograde.transport..endosome.to.Golgi..8.	8	Up	0.707901284759341	0.946885926924215
exocytosis.6.	6	Down	0.714368842159263	0.946885926924215
transmembrane.transport.channel.19.	16	Up	0.714468472133726	0.946885926924215
endocytosis.60.	57	Up	0.732454580560485	0.959166712638731
Lysoplex.All.Lysosome..including.membrane..891.	767	Up	0.764202806997728	0.971928710255597
post.Golgi.vesicle.mediated.transport.14.	14	Down	0.764699451620497	0.971928710255597
All.Endo.Exosomal.genes.137.	127	Down	0.781368554945234	0.971928710255597
All.lipid.genes.37.	28	Up	0.784487090169776	0.971928710255597
X14.3.3.7.	6	Down	0.813117080979895	0.971928710255597
MTORC1.hyp.DOWNregulated.ALL.561.	333	Down	0.827434126419205	0.971928710255597
TFEB.targets..MB..479.	422	Up	0.838392753769205	0.971928710255597
New.MT.Assoc.All.84.	73	Down	0.847738667421574	0.971928710255597
X.Golgi..recycling.comp..And.secretory..24.	21	Down	0.864341864237064	0.971928710255597
ATG12.Ubiquitin.like.conjugation.systems.6.	6	Up	0.864982138872306	0.971928710255597
All.trasport.genes.232.	208	Up	0.866896114945056	0.971928710255597
regulation.of.endocytosis.13.	13	Up	0.870460711340841	0.971928710255597
endosomal.transport.29.	27	Up	0.876679292894864	0.971928710255597
Microtubule.associated.with.Autophagy.AP.Lysosome.Fusion.16.	15	Up	0.881496599854798	0.971928710255597
Ribosomal.protein.mRNAs.50.	49	Down	0.883072740356178	0.971928710255597
ULK1.complex.9.	8	Up	0.883571554777816	0.971928710255597
RAS.family.5.	5	Up	0.913992149984265	0.987174113762415
Upregulated.upon.TFEB.OE.in.Hela.291.	227	Up	0.915379632761512	0.987174113762415
mTOR.regulators.3.27.	27	Down	0.933617929113312	0.992123173628942
Microtubule.associated.with.Autophagy.Transport.56.	47	Up	0.95123003602988	0.992123173628942
eIF4.mRNAs.9.	9	Up	0.954496402120899	0.992123173628942
eIF1.mRNAs.3.	1	Down	0.960617376653592	0.992123173628942
intracellular.trafficking.7.	7	Down	0.967086713862412	0.992123173628942
Heat.Shock.Proteins.14.	14	Up	0.980505154727634	0.992123173628942
PolyA.binding.protein.mRNAs.3.	3	Up	0.991757044456166	0.992123173628942
mTOR.regulators.25.	25	Down	0.992123173628942	0.992123173628942
